customer_id,age,tenure_months,segment,region,monthly_spend_usd,products_owned,support_tickets_12m,last_campaign,churned,satisfaction_score,credit_score,is_premium,join_date,last_activity_date
C100060,47.0,41.0,Residencial,Centro,117.08,3.0,3.0,Email,0,4.34,545.0,Sí,2021-03-02 11:13:42,2027-02-13 11:13:42
C100061,43.0,26.0,Residencial,,20.6,2.0,5.0,Email,1,3.48,545.0,No,2020-10-21 20:11:37,2023-08-02 20:11:37
C100062,35.0,57.0,Residencial,,108.24,,4.0,SMS,0,1.0,,,2019-08-12 00:02:12,2023-01-02 00:02:12
C100063,18.0,70.0,Residencial,Norte,44.95,3.0,3.0,Email,0,2.0,642.0,Sí,2016-12-24 20:18:56,2017-05-11 20:18:56
C100064,,56.0,Enterprise,Austral,33.42,2.0,3.0,Llamada,0,4.19,612.0,,2023-06-15 14:37:12,2024-04-07 14:37:12
C100065,50.0,24.0,SMB,Norte,46.57,2.0,1.0,Llamada,0,3.52,570.0,No,2017-05-23 14:40:08,2025-01-07 14:40:08
C100066,44.0,36.0,SMB,Austral,97.09,3.0,1.0,SMS,1,2.35,647.0,No,2018-04-18 15:16:04,2018-09-20 15:16:04
C100067,29.0,81.0,,Sur,68.78,4.0,5.0,Ninguna,0,2.44,605.0,No,2023-05-03 15:15:48,2030-01-09 15:15:48
C100068,45.0,4.0,Residencial,Sur,58.82,3.0,5.0,Ninguna,1,3.37,664.0,No,2015-05-14 22:36:52,2017-01-11 22:36:52
C100069,47.0,26.0,Enterprise,Austral,42.54,5.0,2.0,SMS,0,3.8,,No,2016-02-16 04:32:29,2020-06-15 04:32:29
C100070,54.0,107.0,SMB,Austral,33.48,1.0,7.0,Email,0,1.11,763.0,No,2021-11-08 13:45:36,2027-08-18 13:45:36
C100071,29.0,12.0,Residencial,Norte,90.3,,3.0,Email,0,2.52,566.0,No,2018-04-24 11:34:15,2026-03-27 11:34:15
C100072,36.0,50.0,SMB,Austral,102.24,4.0,10.0,,0,3.55,576.0,Sí,2020-03-19 19:38:50,2023-03-15 19:38:50
C100073,45.0,25.0,SMB,Norte,94.96,1.0,3.0,SMS,1,3.06,538.0,No,2020-03-23 05:14:24,2027-08-15 05:14:24
C100074,39.0,13.0,Residencial,Sur,72.54,2.0,3.0,Llamada,0,3.78,587.0,No,2022-06-12 18:42:58,2026-01-27 18:42:58
C100075,27.0,51.0,Enterprise,Sur,5.0,1.0,9.0,Llamada,0,1.78,,No,2020-07-31 21:07:56,2027-07-07 21:07:56
C100076,42.0,63.0,SMB,Norte,,1.0,6.0,Llamada,0,3.09,598.0,No,2018-11-01 17:13:10,2019-08-25 17:13:10
C100077,44.0,21.0,SMB,Sur,92.69,1.0,1.0,Email,0,4.57,536.0,Sí,2019-12-11 09:36:01,2022-01-31 09:36:01
C100078,39.0,10.0,Enterprise,Sur,54.05,,4.0,Email,1,3.74,,No,2021-08-23 09:38:07,2026-08-16 09:38:07
C100079,40.0,17.0,SMB,Austral,68.1,10.0,4.0,SMS,0,3.76,569.0,Sí,2018-05-31 03:23:47,2024-01-21 03:23:47
C100080,35.0,78.0,SMB,Austral,,3.0,2.0,Ninguna,0,2.93,627.0,Sí,2016-07-16 07:01:53,2022-12-18 07:01:53
C100081,,103.0,Enterprise,Centro,87.78,1.0,4.0,Llamada,0,1.62,636.0,No,2019-05-18 11:52:57,2022-03-28 11:52:57
C100082,29.0,22.0,Enterprise,Sur,100.05,2.0,3.0,Llamada,0,3.52,788.0,Sí,2023-12-30 10:39:03,2028-12-27 10:39:03
C100083,32.0,39.0,SMB,Austral,73.59,5.0,1.0,Llamada,1,4.14,535.0,No,2016-01-04 15:51:22,2020-12-20 15:51:22
C100084,38.0,41.0,Enterprise,Norte,46.89,1.0,2.0,,0,2.88,591.0,No,2016-07-24 18:39:45,2024-06-07 18:39:45
C100085,47.0,43.0,,Sur,65.5,2.0,7.0,,1,2.17,537.0,No,2023-12-15 21:38:55,2024-11-21 21:38:55
C100086,23.0,30.0,SMB,Austral,49.49,4.0,4.0,Email,0,3.06,598.0,Sí,2022-06-20 13:18:42,2022-08-06 13:18:42
C100087,25.0,7.0,SMB,Norte,58.47,1.0,4.0,,0,,557.0,No,2016-01-20 16:23:06,2020-08-24 16:23:06
C100088,18.0,63.0,SMB,Austral,5.0,,4.0,Email,0,2.43,649.0,,2016-11-29 06:49:20,2017-01-13 06:49:20
C100089,38.0,43.0,SMB,Norte,22.92,3.0,3.0,,0,3.41,571.0,No,2021-03-20 17:39:44,2022-10-12 17:39:44
C100090,27.0,,Residencial,Centro,58.99,2.0,1.0,Llamada,0,3.46,735.0,No,2022-01-16 02:29:23,2026-01-15 02:29:23
C100091,34.0,32.0,SMB,Austral,,8.0,,,0,4.28,675.0,Sí,2021-08-09 11:52:30,2023-09-29 11:52:30
C100092,45.0,,Residencial,Austral,16.16,2.0,1.0,Email,0,3.57,539.0,No,2022-10-01 22:28:50,2024-11-16 22:28:50
C100093,32.0,73.0,SMB,Sur,31.25,1.0,3.0,Email,0,3.57,578.0,No,2019-07-24 17:03:31,2022-04-30 17:03:31
C100094,40.0,50.0,Enterprise,Sur,66.38,1.0,8.0,Email,0,2.06,,No,2022-11-21 12:26:52,2028-05-17 12:26:52
C100095,35.0,,Enterprise,Centro,108.08,4.0,9.0,Email,1,2.34,628.0,No,2020-05-13 01:39:08,2023-04-16 01:39:08
C100096,45.0,96.0,Residencial,Austral,65.1,1.0,3.0,Email,1,,502.0,No,2019-04-13 16:28:36,2025-08-15 16:28:36
C100097,43.0,106.0,Residencial,Sur,78.14,1.0,2.0,Email,0,1.93,520.0,No,2020-09-22 23:09:54,2021-12-30 23:09:54
C100098,31.0,4.0,Enterprise,Austral,52.9,1.0,6.0,Ninguna,0,2.34,545.0,No,2018-11-10 12:11:52,2019-09-05 12:11:52
C100099,,111.0,SMB,Sur,72.96,1.0,4.0,Email,0,2.29,691.0,,2020-06-16 05:07:44,2021-10-15 05:07:44
C100100,48.0,84.0,Residencial,Norte,88.77,7.0,3.0,Email,0,2.53,724.0,Sí,2022-07-03 16:06:52,2029-11-01 16:06:52
C100101,42.0,12.0,,Sur,70.53,6.0,4.0,SMS,0,3.08,733.0,Sí,2023-08-16 14:25:30,2025-11-03 14:25:30
C100102,24.0,90.0,Residencial,Austral,81.46,3.0,7.0,Email,1,2.22,612.0,No,2020-03-19 18:44:44,2020-06-14 18:44:44
C100103,45.0,13.0,SMB,Austral,44.19,3.0,1.0,SMS,0,4.73,645.0,Sí,2015-01-19 20:11:38,2017-07-27 20:11:38
C100104,27.0,7.0,SMB,Centro,108.18,3.0,2.0,SMS,0,3.91,698.0,Sí,2020-08-04 03:17:12,2026-02-04 03:17:12
C100105,52.0,14.0,SMB,Norte,83.42,3.0,1.0,,0,5.0,581.0,Sí,2017-04-07 23:42:01,2020-02-28 23:42:01
C100106,48.0,55.0,Residencial,Austral,54.31,2.0,,Ninguna,0,3.0,489.0,No,2017-02-14 22:51:46,2020-03-12 22:51:46
C100107,41.0,74.0,SMB,Austral,22.71,3.0,4.0,Llamada,1,2.4,626.0,No,2022-12-06 12:23:05,2023-08-15 12:23:05
C100108,40.0,49.0,SMB,,36.1,5.0,6.0,Email,1,2.91,520.0,No,2019-01-06 12:26:04,2024-05-07 12:26:04
C100109,36.0,15.0,Enterprise,Sur,113.75,1.0,6.0,SMS,0,3.88,626.0,Sí,2022-02-11 02:16:08,2023-11-16 02:16:08
C100110,45.0,24.0,,Austral,58.0,2.0,5.0,Email,0,3.55,607.0,No,2018-04-29 09:05:01,2019-02-08 09:05:01
C100111,34.0,102.0,Residencial,Centro,70.41,2.0,0.0,Llamada,0,4.25,615.0,No,2020-06-17 16:16:28,2026-03-05 16:16:28
C100112,40.0,115.0,SMB,Austral,42.7,1.0,1.0,Email,0,1.49,656.0,No,2020-12-26 21:53:13,2028-06-23 21:53:13
C100113,47.0,90.0,Residencial,Centro,63.77,2.0,2.0,Llamada,0,3.27,650.0,No,2023-01-15 03:16:25,2027-12-02 03:16:25
C100114,32.0,13.0,SMB,Austral,28.45,2.0,6.0,Email,0,3.46,592.0,No,2016-10-07 20:10:22,2024-04-05 20:10:22
C100115,,98.0,Enterprise,Norte,85.6,2.0,6.0,SMS,0,1.41,603.0,Sí,2020-01-19 17:24:36,2023-04-07 17:24:36
C100116,26.0,83.0,Enterprise,Centro,93.96,5.0,3.0,Email,0,3.66,656.0,Sí,2018-08-26 16:57:28,2022-10-20 16:57:28
C100117,27.0,63.0,SMB,Norte,91.44,3.0,3.0,SMS,0,4.31,614.0,Sí,2019-03-05 14:35:38,2022-01-11 14:35:38
C100118,20.0,18.0,SMB,Centro,40.06,1.0,2.0,Llamada,1,2.45,588.0,No,2022-08-21 18:46:28,2026-09-16 18:46:28
C100119,45.0,119.0,Residencial,Austral,58.56,3.0,8.0,SMS,0,,737.0,No,2016-03-22 10:48:51,2023-05-12 10:48:51
C100120,56.0,53.0,Enterprise,Norte,76.76,1.0,3.0,Email,1,1.32,611.0,No,2019-12-02 04:00:23,2024-12-28 04:00:23
C100121,52.0,6.0,SMB,Sur,58.52,3.0,5.0,Email,1,2.21,627.0,No,2018-06-28 19:20:43,2018-09-14 19:20:43
C100122,22.0,25.0,Residencial,Austral,54.55,2.0,4.0,Ninguna,0,4.09,558.0,No,2023-01-24 07:07:02,2027-09-13 07:07:02
C100123,45.0,48.0,SMB,Sur,111.82,2.0,7.0,SMS,1,2.5,641.0,No,2016-12-12 08:40:20,2019-12-18 08:40:20
C100124,52.0,8.0,SMB,Sur,40.59,,2.0,Llamada,0,2.32,646.0,No,2017-02-03 07:37:29,2021-06-09 07:37:29
C100125,33.0,39.0,SMB,Norte,91.39,4.0,1.0,SMS,0,3.22,646.0,No,2015-10-26 14:48:12,2020-04-10 14:48:12
C100126,39.0,56.0,SMB,,34.52,3.0,5.0,Llamada,1,2.37,613.0,No,2018-12-16 23:05:39,2023-09-01 23:05:39
C100127,18.0,113.0,SMB,Norte,81.23,3.0,4.0,Llamada,1,1.85,,No,2015-02-05 13:03:40,2022-01-08 13:03:40
C100128,41.0,11.0,SMB,Norte,82.99,3.0,3.0,Email,0,3.96,676.0,No,2019-07-03 20:50:06,2026-05-14 20:50:06
C100129,27.0,69.0,SMB,Austral,50.75,,4.0,SMS,1,1.66,617.0,No,2017-01-04 21:57:22,2024-10-10 21:57:22
C100130,40.0,109.0,SMB,Sur,31.76,,6.0,SMS,0,1.5,573.0,No,2018-08-09 15:57:41,2023-06-28 15:57:41
C100131,22.0,96.0,Enterprise,,36.85,3.0,4.0,Email,1,2.98,704.0,Sí,2020-06-12 05:26:29,2022-09-23 05:26:29
C100132,43.0,111.0,Enterprise,Centro,45.99,2.0,5.0,,0,3.16,546.0,No,2021-02-27 22:19:41,2022-09-21 22:19:41
C100133,48.0,21.0,SMB,,74.86,,2.0,Email,0,4.3,557.0,,2015-07-21 06:53:25,2022-05-05 06:53:25
C100134,30.0,96.0,SMB,Austral,35.36,2.0,7.0,Email,1,1.84,577.0,No,2016-05-03 20:12:30,2023-08-23 20:12:30
C100135,27.0,117.0,,Sur,62.29,4.0,4.0,Ninguna,0,3.07,,No,2017-11-10 12:07:51,2018-02-26 12:07:51
C100136,18.0,39.0,,Austral,48.48,,6.0,Ninguna,0,2.7,680.0,Sí,2019-09-04 06:27:28,2021-05-26 06:27:28
C100137,35.0,60.0,Residencial,Norte,55.42,3.0,1.0,Email,0,4.44,542.0,No,2016-04-01 03:28:23,2021-09-05 03:28:23
C100138,32.0,64.0,SMB,Sur,54.38,2.0,6.0,Llamada,1,2.14,602.0,Sí,2015-08-12 02:30:00,2016-12-06 02:30:00
C100139,22.0,59.0,SMB,Austral,60.67,3.0,2.0,Email,0,4.01,587.0,No,2020-08-30 04:07:53,2021-01-23 04:07:53
C100140,43.0,35.0,SMB,Austral,49.94,,8.0,Llamada,1,2.46,582.0,No,2023-10-23 14:18:49,2031-10-12 14:18:49
C100141,34.0,116.0,Enterprise,Sur,,4.0,3.0,SMS,0,4.05,579.0,No,2022-06-22 00:36:52,2023-03-29 00:36:52
C100142,27.0,114.0,SMB,Norte,67.91,8.0,3.0,Llamada,0,3.19,646.0,Sí,2020-02-02 14:39:36,2021-10-17 14:39:36
C100143,32.0,46.0,SMB,Sur,38.94,2.0,6.0,SMS,1,2.03,576.0,No,2015-03-07 17:31:37,2023-01-31 17:31:37
C100144,49.0,96.0,SMB,Norte,29.35,5.0,4.0,,0,1.97,573.0,No,2020-03-08 23:34:14,2020-12-25 23:34:14
C100145,44.0,48.0,Enterprise,Austral,88.08,5.0,8.0,Ninguna,0,3.62,534.0,No,2019-02-10 22:47:04,2025-07-03 22:47:04
C100146,37.0,95.0,SMB,Sur,55.94,1.0,4.0,Email,1,3.4,,No,2019-01-09 03:06:58,2023-07-08 03:06:58
C100147,44.0,70.0,,Norte,5.0,2.0,4.0,Email,1,2.64,,No,2019-06-08 12:24:03,2023-10-01 12:24:03
C100148,26.0,56.0,SMB,Sur,47.05,7.0,3.0,SMS,0,2.88,588.0,No,2020-01-20 17:08:09,2026-08-31 17:08:09
C100149,38.0,16.0,SMB,Sur,85.02,2.0,0.0,,0,3.92,572.0,No,2021-06-25 11:24:50,2021-08-26 11:24:50
C100150,39.0,78.0,SMB,Norte,66.22,3.0,2.0,Email,0,3.14,675.0,Sí,2016-09-23 12:15:13,2017-03-19 12:15:13
C100151,,39.0,Residencial,Norte,119.33,3.0,4.0,SMS,1,2.25,563.0,Sí,2015-09-03 14:30:21,2017-03-26 14:30:21
C100152,42.0,26.0,SMB,Norte,40.08,2.0,7.0,SMS,0,2.41,550.0,No,2015-06-19 01:22:31,2019-05-20 01:22:31
C100153,30.0,23.0,SMB,Norte,75.4,1.0,2.0,Llamada,0,3.38,594.0,No,2018-08-27 14:10:02,2026-05-06 14:10:02
C100154,43.0,117.0,Residencial,Sur,90.84,5.0,4.0,Ninguna,0,3.32,664.0,No,2019-07-28 14:38:38,2020-02-13 14:38:38
C100155,44.0,13.0,SMB,Austral,96.35,3.0,0.0,SMS,0,5.0,670.0,Sí,2022-01-25 21:02:36,2025-06-04 21:02:36
C100156,18.0,96.0,SMB,,26.51,2.0,5.0,SMS,0,3.14,529.0,No,2018-11-25 19:14:05,2022-04-29 19:14:05
C100157,50.0,104.0,SMB,Sur,60.06,4.0,4.0,,0,3.02,621.0,Sí,2019-10-16 03:49:12,2021-05-11 03:49:12
C100158,18.0,4.0,Enterprise,Centro,115.35,2.0,2.0,Email,0,4.43,703.0,Sí,2023-10-16 11:36:57,2026-07-16 11:36:57
C100159,32.0,71.0,SMB,Austral,61.62,1.0,6.0,Llamada,1,2.49,,Sí,2021-09-30 17:51:57,2023-05-09 17:51:57
C100160,48.0,69.0,Residencial,Centro,87.25,8.0,3.0,Ninguna,0,2.57,595.0,No,2021-03-21 01:07:23,2022-04-25 01:07:23
C100161,35.0,43.0,Residencial,Sur,73.13,3.0,9.0,,0,2.63,629.0,Sí,2018-04-11 12:00:12,2022-06-10 12:00:12
C100162,23.0,80.0,Enterprise,Austral,65.84,1.0,3.0,Ninguna,0,1.48,577.0,No,2016-05-15 06:41:54,2023-10-24 06:41:54
C100163,27.0,49.0,SMB,Norte,33.2,1.0,0.0,,0,3.21,762.0,No,2023-04-13 07:52:37,2026-07-06 07:52:37
C100164,48.0,53.0,Residencial,Centro,47.05,3.0,3.0,Llamada,0,3.04,575.0,No,2019-12-25 07:51:25,2025-01-20 07:51:25
C100165,19.0,52.0,Residencial,Centro,41.93,3.0,3.0,Email,1,3.5,627.0,No,2015-09-12 05:36:45,2021-01-19 05:36:45
C100166,,96.0,Residencial,Norte,88.76,2.0,3.0,Ninguna,0,3.33,604.0,Sí,2019-05-05 06:45:45,2026-01-29 06:45:45
C100167,37.0,76.0,SMB,Sur,87.78,,3.0,SMS,0,3.26,682.0,Sí,2015-10-27 15:46:39,2022-05-31 15:46:39
C100168,26.0,46.0,,Norte,76.13,1.0,4.0,Email,0,3.44,652.0,No,2023-10-31 14:22:38,2031-01-27 14:22:38
C100169,32.0,111.0,Residencial,Centro,71.18,9.0,4.0,Ninguna,0,2.65,615.0,Sí,2019-10-04 03:11:45,2026-04-08 03:11:45
C100170,,96.0,Residencial,Norte,39.65,1.0,3.0,SMS,1,2.81,597.0,No,2022-01-24 04:38:29,2029-07-02 04:38:29
C100171,47.0,112.0,SMB,Sur,65.96,1.0,4.0,Ninguna,1,1.63,546.0,No,2019-03-28 14:21:06,2026-12-16 14:21:06
C100172,45.0,87.0,Residencial,Austral,,2.0,4.0,Llamada,0,2.86,531.0,No,2015-03-06 20:47:40,2021-02-26 20:47:40
C100173,,47.0,Enterprise,Centro,,4.0,4.0,Ninguna,0,3.93,712.0,Sí,2020-09-29 15:25:34,2024-09-08 15:25:34
C100174,34.0,92.0,Residencial,Centro,59.14,1.0,4.0,SMS,0,1.88,567.0,No,2020-11-16 18:37:52,2023-05-01 18:37:52
C100175,29.0,40.0,Enterprise,Centro,50.5,1.0,2.0,SMS,0,3.05,455.0,No,2017-01-22 21:46:49,2021-08-17 21:46:49
C100176,51.0,33.0,Residencial,Norte,77.13,2.0,7.0,Llamada,0,2.51,686.0,No,2021-06-12 23:31:12,2028-01-27 23:31:12
C100177,24.0,54.0,SMB,Centro,80.55,5.0,8.0,Email,0,2.79,582.0,Sí,2017-01-12 22:55:11,2023-01-21 22:55:11
C100178,54.0,116.0,SMB,Austral,42.61,5.0,2.0,Email,0,1.63,635.0,Sí,2021-03-23 04:49:45,2025-05-19 04:49:45
C100179,38.0,,,Norte,60.92,7.0,2.0,Ninguna,0,4.26,748.0,Sí,2021-09-28 07:45:20,2022-05-08 07:45:20
C100180,26.0,46.0,Residencial,Austral,110.69,6.0,3.0,Ninguna,0,4.3,641.0,Sí,2016-03-27 18:57:58,2018-05-29 18:57:58
C100181,31.0,55.0,SMB,Norte,86.3,3.0,5.0,Ninguna,0,3.73,640.0,Sí,2017-08-17 00:46:23,2022-03-29 00:46:23
C100182,,35.0,Enterprise,,,4.0,1.0,Email,0,4.82,526.0,No,2016-06-20 18:38:30,2019-07-21 18:38:30
C100183,25.0,79.0,Residencial,Centro,68.26,1.0,6.0,Email,0,2.44,482.0,No,2021-07-18 14:35:25,2025-03-10 14:35:25
C100184,,42.0,Residencial,Centro,70.22,6.0,1.0,Ninguna,0,5.0,640.0,Sí,2017-02-13 06:29:24,2019-07-12 06:29:24
C100185,26.0,66.0,,Centro,63.29,4.0,,Email,0,2.94,672.0,Sí,2020-10-07 00:05:33,2021-05-17 00:05:33
C100186,18.0,45.0,Residencial,Austral,34.93,3.0,3.0,SMS,0,3.18,618.0,No,2018-10-04 13:56:19,2022-06-26 13:56:19
C100187,34.0,39.0,,Austral,87.13,2.0,1.0,Email,0,2.65,571.0,No,2015-10-01 21:30:44,2019-04-22 21:30:44
